A,B
ที่,at
เป็น,is
ใน,in
มี,have
และ,and
การ,action
ของ,of
ไม่,no
ได้,can
จาก,from
ความ,sense
คน,person
แล้ว,already
วัน,day
ให้,give
อยู่,live
มา,come
ด้วย,too
เช่น,such as
หรือ,or
แต่,but
เรา,we
งาน,work
เรื่อง,subject
มาก,a lot
เขา,he
อื่น,another
ต้อง,must
ใช้,use
อาจ,might
ดู,watch
เห็น,see
เป็นการ,It is
เช่นกัน,too
บอก,tell
ทำ,do
คำ,word
เมื่อ,when
ทาง,way
บาง,thin
คง,probably
นั้น,that
อีก,more
เลย,at all
ทำให้,make
รู้,know
ขึ้น,climb
ไป,go
เช่นเดียวกัน,too
ใจ,heart
บ้าน,house
สุข,happy
สนุก,fun
ของ,of
กิน,eat
นอน,sleep
พัก,stay
ที่ไหน,where
ไหน,which
ข้าง,side
กลาง,center
ในนี้,In this
ทาง,way
สูง,high
ต่ำ,low
เร็ว,fast
ช้า,slow
เพื่อน,friend
เรียน,learn
ทำงาน,work
เงิน,money
ฝัน,dream
สุขภาพ,health
เวลา,time
วันนี้,today
ตอนนี้,now
พรุ่งนี้,tomorrow
เมื่อวาน,yesterday
วัน,day
เดือน,month
ปี,year
ตอน,section
ที่,at
คือ,is
เหมือน,like
แต่ละ,each
เชื่อ,believe
พอ,enough
ทันที,immediately
บอกว่า,said
จึง,therefore
พวก,guys
ใกล้,near
ไกล,far
อยู่ดี,Stay well
ครั้ง,time
เดิม,old
อีกครั้ง,again
ขณะ,while
สถานที่,location
ในเวลา,in time
ต่อเนื่อง,continuously
หลาย,many
เดียว,single
ทุก,each
เพียง,just
แท้จริง,real
ใหม่,new
ยังคง,still
ทั้งหมด,all
ทางด้าน,side
เกี่ยวกับ,about
ส่วน,part
โดย,by
ร่วม,join
ทราบ,know
เพื่อ,to
ในทันที,immediately
ตลอด,always
แม้ว่า,although
ในขณะ,while
สิ่ง,thing
ในทุกๆ,In every
ด้าน,side
ทั้งสิ้น,all
อยู่เสมอ,always
การศึกษา,study
สำคัญ,important
ในบาง,in some
เริ่ม,start
บ่อย,frequent
เสมอ,always
ประมาณ,about
เพราะว่า,because
ปัญหา,problem
ความสุข,happiness
ในอนาคต,future
ปัจจุบัน,current
อดีต,past
รวมถึง,Including
อย่างยิ่ง,extremely
อย่างน้อย,at least
พิเศษ,special
ความจำเป็น,necessity
ส่วนใหญ่,mostly
บางคน,Some people
หลายคน,many people
ในที่นี้,in this place
ในโลก,in the world
ในระดับ,at the level
ส่วนประกอบ,component
องค์ประกอบ,component
ระยะ,phase
แน่นอน,certain
ความหมาย,meaning
ทั้งสอง,both
มีชีวิต,live
ในหลายๆ,In many ways
อย่างไร,how
ที่แท้จริง,real
สิ้นสุด,end
ความสามารถ,ability
คำถาม,question
ตอบ,reply
ทั้งที่,Even though
ทุกที่,everywhere
ในทาง,in the way
วิเคราะห์,analyze
การแก้ไข,Editing
ทางเลือก,choice
แนะนำ,recommend
ต่อไป,next
เข้าใจ,understand
ในเชิง,In terms
ในระหว่าง,during
แสดง,show
ทำอย่างไร,how
ในส่วน,In the section
ดังนั้น,so
แนวทาง,Guidelines
เหมาะสม,appropriate
ในแนว,in line
ในรูป,in the picture
เข้าใจง่าย,Easy to understand
ในหมู่,among
ในความ,In the
นอกจากนี้,in addition
ในรูปแบบ,in form